login,location,bio,createdAt,country
Username_50_1,United States,Space Elements® is a company that researches and develops space exploration technology.,2021-01-30T03:27:09Z,US
Username_50_2,United Kingdom,Vision to build solutions and tools to migrate solutions from web 2.0 to web 3.0 world,2022-01-13T09:21:40Z,UK
Username_50_3,United Kingdom,"Hi, I'm Ollie! Mainly focusing on Minecraft mod development and discord bot development.",2023-01-09T17:28:55Z,UK
Username_50_4,"Surat, Gujarat, India",We are a creative group of people who design influential websites and digital experiences.,2021-01-29T15:31:12Z,IN
Username_50_5,"Woodbridge, VA United States",Most of what I do is computer vision although I try to do a little bit of everything. ,2022-01-16T12:59:22Z,US
Username_50_6,"Lagos, Nigeria",Product Manager looking to contribute to open-source projects as a Technical Product Manager,2021-01-13T14:44:29Z,NG
Username_50_7,INDIA,Passionate about coding and development. Dedicated to sharing knowledge and inspiring others through engaging tutorials and tech content.,2021-01-22T16:46:26Z,IN
Username_50_8,Brazil,I’m a Software Engineer with 3+ years of experience designing and delivering backend and AI-powered solutions,2023-01-17T17:23:24Z,BR
Username_50_9,Nigeria,Passionate and innovative computer science student with a strong foundation in frontend web and mobile development.,2024-01-17T21:35:55Z,NG
Username_50_10,Brazil,Entrepreneur | SaaS | Developer | Data Specialist | Consultant | Engineer,2024-01-11T19:26:55Z,BR
