login,location,bio,createdAt,country
Username_99_1,"Falkirk, United Kingdom","23 year old Scottish university graduate. Interested in robotics, neural networks and web/game development.",2021-01-15T14:42:23Z,UK
Username_99_2,"Tirupati, Andhra Pradesh , India",B.Tech AIML student | Python & ML enthusiast | Learning by building | Driven by curiosity and purpose,2022-01-20T16:25:41Z,IN
Username_99_3,"Lagos, Nigeria","Aspiring Data Scientist | Engineering Professional | Building in Python, Pandas, and Machine Learning. ",2021-01-31T13:29:44Z,NG
Username_99_4,nigeria,I am a cybersecurity professional with strong expertise in networking and full-stack development.,2023-01-06T23:57:23Z,NG
Username_99_5,"Ceará, Brazil",Full Stack & Mobile Developer 👨‍💻 Making codes to find solutions 🫡,2024-01-19T23:20:17Z,BR
Username_99_6,"Noida , India","Just A Student Programmer, Currently Starting a Company With My cousin",2021-01-04T13:18:42Z,IN
Username_99_7,"11858 Bernardo Plaza Ct Ste 110, San Diego, CA 92128, United States","You have many options when it comes to securing financing, so why partner with Clear Skies Capital? ",2021-01-14T07:29:23Z,US
Username_99_8,United States,"Research data scientist with 7+ years of experience providing data-driven insights, research, and solutions.",2022-01-03T17:40:04Z,US
Username_99_9,Ibatiba - ES - Brazil,Web programming student focused on front-end | Specialist in mobile first,2021-01-04T20:23:47Z,BR
Username_99_10,united kingdom,Passionate about Artificial intelligence (AI) and machine learning (ML) and computer vision.,2023-01-22T20:26:28Z,UK
