login,location,bio,createdAt,country
Username_51_1,Nigeria,"Hi there, my name is John Shaibu, I'm a full-stack web developer from Nigeria.",2022-01-17T11:23:57Z,NG
Username_51_2,Nigeria,Student at ALX SOFTWARE ENGINEERING PROGRAM | Full stack developer| UI designer  check my works :smile: ,2023-01-09T23:19:15Z,NG
Username_51_3,United Kingdom,Data Analyst | SQL | Excel | Power BI | Oracle ERP,2023-01-19T18:18:18Z,UK
Username_51_4,United States, With Unpluggd Jobs Maximize your chances to get the interview and land the job you want.  ,2023-01-09T07:59:01Z,US
Username_51_5,Brazil,Fullstack and Mobile developer -   14 years experienced in building success solutions,2022-01-06T18:30:07Z,BR
Username_51_6,Madhya Pradesh INDIA,BTech CS student | Learning JavaScript & Web Development | Exploring Projects,2025-01-02T09:45:02Z,IN
Username_51_7,Brazil,High-Impact data-driven entrepreneur and enthusiast of digital innovation,2021-01-22T22:24:02Z,BR
Username_51_8,United Kingdom,"Epidemiologist, Public Health, Data Sciences, Pharmacist, Health Economics, Cancer Research",2022-01-01T12:04:39Z,UK
Username_51_9,"Varanasi, India",Full Stack Developer | Node.js& Ruby on Rails Expert | AWS Cloud Solution | Tech Mentor,2025-01-02T08:04:34Z,IN
Username_51_10,"Warren, Ohio, United States",I do most of my work at the Waynesville Middle School. Currently in the 7th grade.,2023-01-20T19:00:55Z,US
