login,location,bio,createdAt,country
Username_60_1,United States,I am an aspiring software engineer who is trying to learn how to code. ,2021-01-30T23:20:55Z,US
Username_60_2,United States,A pretty kool game company that makes games! Owned by @_YukkiChan_ on Twitter,2022-01-17T02:08:07Z,US
Username_60_3,India,"A Computer Science Student from Techno Main, Salt Lake, Kolkata. Aspiring to be an SDE.",2023-01-12T15:53:54Z,IN
Username_60_4,"Awka, Nigeria","DevSecOps Specialist skilled in GCP, Azure, and Kubernetes for automated application deployment and security",2025-01-22T21:03:45Z,NG
Username_60_5,"Lagos, Nigeria",I am **Microsoft Certified Data Scientist** and also an *Analytics Business Intelligence Engineer*.,2021-01-09T05:17:00Z,NG
Username_60_6,"Brasilia, Brazil","I'm Mateus Valerio, B.S. Computer Science at University of Brasilia (UnB)",2021-01-16T20:19:27Z,BR
Username_60_7,"Kolkata, India",Programmer Analyst @Cognizant | Full Stack Developer | Currently looking to collaborate on open source projects.,2023-01-20T08:35:04Z,IN
Username_60_8,"Cambé, PR, Brazil",Graduating in Systems Analysis and Development at Federal Institute of Paraná | IFPR - Londrina ,2022-01-03T17:49:53Z,BR
Username_60_9,United Kingdom,"Welcome to Swartzz Recruitment! We specialize in cybersecurity recruitment, connecting businesses with reliable talent. ",2025-01-07T14:55:19Z,UK
Username_60_10,United Kingdom,An avid AI/ML developer with a passion for leveraging technology to solve complex problems.,2024-01-04T16:37:26Z,UK
