login,location,bio,createdAt,country
Username_19_1,United States,Delusions thought up by the mentally deranged? Hell yeah! It's still 2022 to me!,2025-01-23T22:56:32Z,US
Username_19_2,united states,I am blogger and writer and i have 4 years of experience.,2023-01-16T12:18:21Z,US
Username_19_3,India,"Android Architect with 13+ years on Application development, Device Release and Framework support",2021-01-04T09:12:52Z,IN
Username_19_4,United Kingdom,General Writer. Graphic Designer. Alcohol Fanatic. Web Enthusiast. Professional Procrastinator.,2021-01-26T10:01:35Z,UK
Username_19_5,"London, United Kingdom",Curious about data and how we can use it to make everyone's life better,2021-01-22T16:18:00Z,UK
Username_19_6,"Mogi Mirim, São Paulo, Brazil",WordPress | cPanel Professional |  Data Privacy | PHP | C# | Azure,2025-01-11T12:51:24Z,BR
Username_19_7,Brazil,A full-stack developer who loves hot beverages and good conversations. Always in pursuit of new knowledge 🚀,2021-01-21T21:56:17Z,BR
Username_19_8,Nigeria,"i dove into Tech Ocean with both feet, i either sink or float.  Time will tell.",2022-01-04T10:27:47Z,NG
Username_19_9,"Nashik,Maharashtra,India",🚀 Android Dev | Python & ML Enthusiast | Aspiring Full Stack Developer,2024-01-21T12:07:32Z,IN
Username_19_10,"rivers state, port-harcourt, nigeria","I am a web developer, vocal coach song writer, singer, and an entrepreneur.",2024-01-25T14:26:29Z,NG
