login,location,bio,createdAt,country
Username_21_1,Lagos Nigeria ,full-stack way. building and solving puzzles 🐱‍🏍🦾🧩,2023-01-20T21:29:50Z,NG
Username_21_2,UNITED STATES,•Researcher •Social Media Engineer •Computer Engineer •Reporter •Author •Reader •Writer •Searcher •Investigator •Video Editor •Video Creator ,2021-01-25T23:22:05Z,US
Username_21_3,"Manchester, United Kingdom","MSc AI at University of Manchester, UK Interest: Machine Learning, NLP, Computer Vision",2021-01-03T03:16:33Z,UK
Username_21_4,Nigeria,"A Public Health Physician, Quality Improvement Expert, Patient Safety Advocate and Data Scientist",2021-01-25T06:30:29Z,NG
Username_21_5,United Kingdom,Welcome! 👋 Nice to meet you. This is my 𝐨𝐧𝐥𝐲 active GitHub account. ©2025,2025-01-30T10:13:22Z,UK
Username_21_6,"India , Pune",Sinhgad Institute Of Technology | SPPU | IT | Competitive Programming | To Be a Software Developer,2021-01-15T07:56:31Z,IN
Username_21_7,"São José do Rio Preto, São Paulo - Brazil",I´m Lucas Gomes Barbosa and I´m learning game development in Godot(gdscript) and Unreal (C++),2022-01-18T22:00:55Z,BR
Username_21_8,United States of America,"Fulltime College Student, Majoring in Mechanical Engineering. Founder and Developer of Deluxe Roleplay on FiveM htpps://discord.gg/deluxerp",2025-01-31T03:21:08Z,US
Username_21_9,Brazil,"Software Engineer ""under development"". Always searching for new creative challenges.",2023-01-10T23:47:08Z,BR
Username_21_10,"Mumbai,Maharashtra,India",Data Analysis || Data Science || Machine Learning || Artificial Intelligence || Web Development,2021-01-03T17:32:13Z,IN
