login,location,bio,createdAt,country
Username_3_1,"United States, Washington DC","From data puzzles to business solutions, with a sprinkle of humor",2024-01-25T06:08:58Z,US
Username_3_2,"Anápolis GO, Brazil","Software engineering student, looking for a job or internship opportunity.",2025-01-31T18:20:32Z,BR
Username_3_3,India,Software Developer at Celebal Technologies | Azure Cloud & Enterprise Integration Specialist | Microsoft Certified Solution Architect Expert,2021-01-29T18:16:33Z,IN
Username_3_4,India,Nothing in life is to be feared. It is only to be understood.  --  Marie Curie,2025-01-03T07:58:23Z,IN
Username_3_5,"Lagos, Nigeria","Frontend Developer | Passionate about building clean, responsive websites.  Building projects. Sharpening skills. Growing daily",2025-01-14T11:09:23Z,NG
Username_3_6,"Texas, United States","A cybersecurity Professional skilled in identifying vulnerabilities, implementing security measures, and fostering a culture of risk awareness.",2025-01-14T02:05:26Z,US
Username_3_7,"Curitiba, Brazil","Data Science Student. Interested in Python, R and general information about Data Science.",2021-01-10T18:43:02Z,BR
Username_3_8,United Kingdom,"""Perhaps imagination is only intelligence having fun."" — George Scialabba",2024-01-11T16:37:24Z,UK
Username_3_9,"Lagos, Nigeria","Brooding Data Analyst, sound in Excel, Power Bi, Tableu, SQL and Developing Skills in Python",2023-01-07T13:16:49Z,NG
Username_3_10,United Kingdom,WordPress Developer | Elementor Expert | HTML | CSS | PHP | Javescript | +5 Years of  Experince,2025-01-24T12:41:37Z,UK
