login,location,bio,createdAt,country
Username_52_1,"Manchester, United Kingdom",Software Engineering Student 🌟 Currently pursuing a degree in Software Engineering at Manchester Metropolitan University.,2024-01-13T14:05:40Z,UK
Username_52_2,United Kingdom,Amateur pentester studying for the OSCP. Interested in Hardware Hacking :),2021-01-09T19:08:57Z,UK
Username_52_3,Nigeria ,"Cyber-Tech: powering the future, one byte at a time☠️",2025-01-17T09:11:53Z,NG
Username_52_4,"Juiz de Fora, Minas Gerais, Brazil",Backend Software Developer | C# | .NET Core | Learning everyday ,2025-01-13T14:32:28Z,BR
Username_52_5,"Virginia, United States","Bios are superfluous, but by complaining about it I've filled the text field. ",2021-01-18T10:44:01Z,US
Username_52_6,"Itajaí, Santa Catarina, Brazil",Developer in municipal security secretary - Itajaí - Santa Catarina - Brazil.,2024-01-16T18:52:44Z,BR
Username_52_7,"Hyderabad, India",Software Engineer at a Fintech organization with over 5 years of experience,2022-01-14T12:07:07Z,IN
Username_52_8,"Lagos, Nigeria",Software Engineer | Python | Django | Flask | FastAPI | React Native | MySQL | PostgreSQL | REST APIs,2023-01-17T07:19:40Z,NG
Username_52_9,United States,devJAMS is an open community for discussing and sharing music and music production.,2021-01-01T20:58:32Z,US
Username_52_10,"Bhubaneswar, India",Curious and excited about coding. Looking for opportunities to develop my skills .,2021-01-12T16:28:01Z,IN
