login,location,bio,createdAt,country
Username_36_1,United States,Professional Backend and Data Engineer. And I also working on Google Data Analytics.,2022-01-14T12:34:08Z,US
Username_36_2,"Guwahati, Assam, India",• CS Undergrad • Focusing on MLOps | CV | Bionics  • GDC Member • @XenixBit,2023-01-16T20:00:34Z,IN
Username_36_3,Nigeria ,I'm a guy that loves to work hard in archiving my goals,2023-01-20T19:35:18Z,NG
Username_36_4,India,👨‍💻Fascinate To Be Part Of Developement Team & Inquisitiveness to Automate Operations in between💻,2021-01-10T11:17:19Z,IN
Username_36_5,Brazil,"She is a researcher in applied economics, motivated by data, guided by statistics and fueled by curiosity.",2025-01-17T10:48:40Z,BR
Username_36_6,United Kingdom,Lean Six Sigma White Belt Certified Data Analyst with an aptitude towards research and problem-solving. ,2021-01-20T22:16:50Z,UK
Username_36_7,Brazil,Developer Embedded Firmware Systems  C | C++|  Arduíno | ESP32 | IOTcore,2023-01-05T12:33:11Z,BR
Username_36_8,"Abuja, Nigeria",Focused towards smart infrastructure and the impact of sustaintable cities in Africa.,2023-01-17T06:51:15Z,NG
Username_36_9,United Kingdom,I am a health and social care provider and would like to successfully develop apps for the business.,2025-01-02T06:16:30Z,UK
Username_36_10,"Los Angeles, United States",MS CS @ USC | Engineering @SadaPay | xAirlift | Habib 2021. Passionate about Fiction and Food. ,2021-01-05T11:37:02Z,US
