login,location,bio,createdAt,country
Username_72_1,United States,"Professional logistician ✈️ by day, Amateur iOS developer📱by night, Green Bay Packer owner 🏈.",2022-01-14T12:33:08Z,US
Username_72_2,India ,Aspiring IT Support Specialist | Learning System Administrator | Project -based learner,2025-01-02T18:27:34Z,IN
Username_72_3,"London, United Kingdom","Backend Focused Fullstack | Nodejs, Express, React, PostgreSQL, MongoDB | Also occasionally Java, Spring Boot ",2021-01-19T19:39:18Z,UK
Username_72_4,"Durham, United Kingdom",PHD student at Durham University. Interested in computer vision based on human body data.,2021-01-09T23:13:47Z,UK
Username_72_5,Brazil,I am a Product Owner & Scrum Master aiming to learn about this world of programming. ,2023-01-20T01:14:51Z,BR
Username_72_6,"Habra, W.B, India",I am a graphics designer and website designer and developer. I am looking for my first job.,2021-01-11T12:38:59Z,IN
Username_72_7,United States,Junior Full Stack Developer and Web Security Analyst | Exploring the integration of  Machine Learning and Computer Vision,2025-01-18T18:59:33Z,US
Username_72_8,Brazil,"Full Stack Developer, Stack: Ruby, Rails, Node, React, Vue, Angular.",2021-01-10T00:43:17Z,BR
Username_72_9,Nigeria & U.S.A,"Creativity and the Future of Work. The Holding Company for - STRAIVA, DEEPLOI, GRUPPA and THINQRE",2021-01-26T18:54:32Z,NG
Username_72_10,"Lagos, Nigeria",On a journey to become a Web Developer | Currently a Student @ freecodecamp ,2022-01-20T23:15:15Z,NG
