login,location,bio,createdAt,country
Username_8_1,United States,Majority of my repositories are private but please still have a look around!,2025-01-24T20:02:56Z,US
Username_8_2,"855 Conklin St Unit I, Farmingdale, NY 11735, United States", We understand the challenges faced by e-commerce businesses when it comes to fulfilment and shipping. ,2025-01-20T06:30:44Z,US
Username_8_3,India,"Working on cool ideas, and messing around things on the way!",2023-01-15T05:20:49Z,IN
Username_8_4,"Sao Paulo, Brazil",My previous GitHub account is https://github.com/lafadovale and I lost it (don't ask🙄).,2025-01-30T18:18:32Z,BR
Username_8_5,"New Delhi, India","Hello everyone ,  I'm Aditya raj and i'm a software devloper ",2022-01-07T12:06:47Z,IN
Username_8_6,"London, United Kingdom",Welcome to Puply.io – your destination for transformative wellness experiences. Immerse yourself in Puppy Yoga,2024-01-16T16:56:58Z,UK
Username_8_7,"Lagos, Nigeria",Software Engineer ST at ALX- Africa || HSE Advisor at WAV || Electrical/Electronics Engineer || Crypto Enthusiast,2023-01-16T21:48:59Z,NG
Username_8_8,"Swindon, England, United Kingdom",Computer Science Graduate with First Class Honours searching for graduate roles in Software Engineering,2021-01-10T20:23:45Z,UK
Username_8_9,"Brazil, São Paulo",Enthusiastic developer in the area of ​​automation and data analysis. Dedicated to Python and secret admirer of C.,2025-01-13T22:28:12Z,BR
Username_8_10,Lagos Nigeria,A passionate software developer that is ready to collaborate with professionals.,2025-01-12T18:22:15Z,NG
