login,location,bio,createdAt,country
Username_24_1,United States,"Music, colors, and words—my way of expressing the world❣️",2024-01-06T09:50:06Z,US
Username_24_2,"Manaus, Amazonas, Brazil",Brazilian tech lover and data analysis student. Always paving the way for a better future.,2022-01-11T00:25:05Z,BR
Username_24_3,United States,"""I would rather be without a state than without a voice"" - Edward Snowden",2023-01-07T01:37:05Z,US
Username_24_4,"Uttar Pradesh, India",Hacking stuff till it all burst into flames. [Work Account],2021-01-30T05:03:16Z,IN
Username_24_5,United Kingdom,Code Artist | Software Engineer | Full Stack Developer | Blockchain Innovator,2021-01-10T21:56:36Z,UK
Username_24_6,brazil,"Hi, i'm student of analysis and systems development, i live in Brazil.",2024-01-18T20:57:25Z,BR
Username_24_7,India,Full Stack Developer | NodeJS | Express | ReactJS | SQL | MongoDB  | NextJS | Socket.io | Redux,2022-01-02T12:11:32Z,IN
Username_24_8,"Abuja, Nigeria",Leadership | Policy & Development | Risk Management | Supply Chain | Data & Business Intelligence | Public Health,2021-01-21T16:50:19Z,NG
Username_24_9,Nigeria,I am fun to be with and ALWAYS ready to learn...,2022-01-03T14:01:52Z,NG
Username_24_10,United Kingdom,"Hi, I'm a Games Technology graduate currently polishing my programming skills to get into the games industry.",2023-01-18T14:55:20Z,UK
