login,location,bio,createdAt,country
Username_7_1,Brazil,"30y former Chef; former Barista; Data Enthusiast Developer, Teacher and Tech Afficionado",2021-01-18T17:50:05Z,BR
Username_7_2,"Nigeria ,Adamawa","Mechanical Eng student from Nigeria,3D Design Engineer,PCB/Circuit Designer",2022-01-11T23:43:55Z,NG
Username_7_3,United Kingdom,Game dev based in London. Currently studying Computer Science at Goldsmiths University. ,2021-01-07T00:45:24Z,UK
Username_7_4,United States,Junior Data Analyst | Data Visualization | Statistical Learning | Data Collection & Cleaning Cross-functional Collaboration,2023-01-09T23:13:59Z,US
Username_7_5,"London, United Kingdom",Data Scientist | Statistical Analyst | Machine Learning | Extracting Actionable Insights from Raw Data,2023-01-15T00:04:23Z,UK
Username_7_6,"Abuja, Nigeria","civil engineer by profession, tech geek by choice. software dev,",2021-01-27T15:57:56Z,NG
Username_7_7,United States,BS in Computer Science and BA in Organizational Communication from the University of Texas at Arlington.,2021-01-20T01:20:43Z,US
Username_7_8,India,Here are the best online women centric brands available along with choosing the best for Indian skin cosmetics. ,2021-01-30T12:07:30Z,IN
Username_7_9,India,High School Senior '26 😀😁😉 Programmer & Multimedia Designer 🖥️,2021-01-30T11:57:39Z,IN
Username_7_10,"Cerquilho, São Paulo - Brazil",Start where you are. Use what you have. Do what you can.,2022-01-19T22:38:03Z,BR
