login,location,bio,createdAt,country
Username_30_1,United Kingdom,🔥 Motivator 📘 Content creator 📈 Data Analyst 🌱 Educator 💻 Programmer 🌐 Developer,2021-01-08T18:41:16Z,UK
Username_30_2,Brazil,👩🏻‍💻 “We are drowning in information but starved for knowledge” - John Naisbitt,2022-01-17T17:40:35Z,BR
Username_30_3,"Nigeria, Lagos","Aspiring software engineer passionate about coding, learning, and shaping Africa’s tech future.",2025-01-22T13:02:56Z,NG
Username_30_4,Brazil,Full-Stack Developer Java - Spring Boot JavaScript - React and React Native Dart - Flutter,2022-01-10T01:25:16Z,BR
Username_30_5,United Kingdom ,I am a Computer Science student eager to learn and begin a career in robotics. ,2022-01-15T21:03:31Z,UK
Username_30_6,United States,Hey hi! I'm James. I work for Upwork as a backend freelance developer.,2024-01-17T20:43:33Z,US
Username_30_7,United States,Aspiring behavioral data scientist | Using data to understand human behavior and mental health. ,2025-01-29T19:23:26Z,US
Username_30_8,"Patna,Bihar,India","Full-stack web developer! 💁‍♂️ | 📍Hyderabad🌸, India 🇮🇳",2022-01-11T05:35:53Z,IN
Username_30_9,Surat/Gujarat/India,"I am a Content Writer, Blogger, and the founder of Article Dice.  ",2021-01-02T11:43:04Z,IN
Username_30_10,Nigeria,"Web Development Master | Frontend, backend, and Full stack Solutions.",2024-01-03T12:49:33Z,NG
