login,location,bio,createdAt,country
Username_67_1,"Mogi Mirim, SP - Brazil",👨🏽‍💻 Software Analyst and Developer | ☕ Java Developer | 🐍 Python Developer,2021-01-24T12:33:02Z,BR
Username_67_2,United States,I am very much passionate to my work. I like to learn new skills I like to read novels ,2021-01-04T07:06:15Z,US
Username_67_3,"Ballari, Karnataka, India",Computer Science Graduate completed Engineering (B.E) in 2023. Interested in Full stack Web Development. ,2022-01-15T04:36:55Z,IN
Username_67_4,"São Paulo, Brazil",Passionate about learning and always looking for ways to make people's lifes easier!,2021-01-03T22:35:58Z,BR
Username_67_5,United States,"Talent enthusiast using this space to create discussion for all things recruiting, for everyone 💻. Founder of RecruitingCode.org ",2023-01-21T01:02:49Z,US
Username_67_6,"lagos, Nigeria","I'm an upcoming front-end dev, looking for every opportunities to learn and widen my knowledge.",2021-01-14T08:34:27Z,NG
Username_67_7,United Kingdom,"The Duke of Data, IT Hipster.  I love data and automations!",2025-01-06T12:06:19Z,UK
Username_67_8,"Hyderabad, India",Backend developer | Passionate about AI and scalable solutions | Striving to innovate.,2025-01-01T19:30:00Z,IN
Username_67_9,Nigeria,"experienccing in the passion of coding, am ready  to learn always and make new coding friends.",2021-01-08T12:40:21Z,NG
Username_67_10,"London, United Kingdom",PhD Student in Economics at the London School of Economics (LSE),2021-01-25T10:08:21Z,UK
