login,location,bio,createdAt,country
Username_88_1,"Ranchi, India",I'm a self-taught UI/UX designer and Web developer.,2023-01-23T08:03:00Z,IN
Username_88_2,"Lagos,Nigeria",Software Developer || ALX Student || Woman In Tech || Career Builder || Fun To Be With.||,2023-01-16T20:36:54Z,NG
Username_88_3,"Hampshire, United Kingdom","Cloud Software Developer | Focused on Cloud Infrastructure, Automation, and Scalable Solutions | Agile Environment",2021-01-19T05:08:19Z,UK
Username_88_4,"Brazil, Santa Catarina, Blumenau",23 years | Fullstack Developer | Nodejs  | Next.js 14 | React | TypeScript | MySQL,2024-01-16T13:19:33Z,BR
Username_88_5,Brazil,"Briefly, I'm a graphic designer passionate about Front-end. ",2023-01-03T14:07:22Z,BR
Username_88_6,"1026, Iconic Shyamal, Shyamal Cross road, Nehru Nagar, Shyamal, Ahmedabad, Gujarat, India - 380015",OIQ Academy provides premier education specializing in international accounting and law.,2025-01-27T10:19:38Z,IN
Username_88_7,"New York, United States",17 | TypeScript Developer | High School Student | Passionate about scalable tech solutions,2023-01-10T02:24:52Z,US
Username_88_8,United States,Im need of lot of things so ic an work on it,2023-01-01T15:37:23Z,US
Username_88_9,"Lagos, Nigeria.","👋 Hi, I’m Eseroghene, a skilled Data Professional with a passion for turning data into actionable insights",2024-01-23T16:32:37Z,NG
Username_88_10,United Kingdom,"As a data analyst, I am passionate about leveraging data to drive meaningful insights and business solutions. ",2021-01-26T09:50:23Z,UK
