login,location,bio,createdAt,country
Username_2_1,"Lagos, Nigeria",Data Analyst | Medical Professional | Freelancer | Transforming Data into Actionable Insights for Healthcare and Beyond,2025-01-13T17:33:25Z,NG
Username_2_2,Brazil / SP,"engineer, climber, father, biker (not necessarily in this order)",2023-01-18T00:11:56Z,BR
Username_2_3,India,"Hi i'm Pearl, a rookie who is self teaching himself how to code.",2022-01-02T13:40:07Z,IN
Username_2_4,"São Paulo, SP - Brazil",Project Intern in Cloud (AWS) | AWS Certified Cloud Practitioner ,2024-01-17T23:56:01Z,BR
Username_2_5,United Kingdom,Full Stack in Software Development @Code-Institute-Org | Salesforce Success Graduate,2022-01-11T03:35:36Z,UK
Username_2_6,"Chicago, United States","Teckyon AI: Innovating with AI to transform data, detect trends, and shape a smarter future!",2025-01-23T00:30:41Z,US
Username_2_7,"FCT, Abuja, Nigeria","If it's about Data and Insight, i'm interested!",2024-01-09T10:28:42Z,NG
Username_2_8,India,Hindi House is an online news platform that posts News in Hindi Languages.,2023-01-23T08:48:26Z,IN
Username_2_9,"Maine, United States","Tech-savvy dad, husband, web3 enthusiast, wrestler, and believer in Christ",2023-01-15T06:49:21Z,US
Username_2_10,"London, United Kingdom","Launch and test ideas in days, not months. ⛔#MoveFast #CodeMeow 😼",2024-01-21T07:17:16Z,UK
