login,location,bio,createdAt,country
Username_83_1,"London, United Kingdom",When Dream Matters Choose DFA Company because we don't Work on Prediction,2024-01-22T00:59:52Z,UK
Username_83_2,"São Paulo, Brazil",I work at the webMethods Support team in São Paulo - Brazil.,2025-01-28T11:59:50Z,BR
Username_83_3,United Kingdom,I want to create cool things on the web. A creative at heart. ,2024-01-01T10:17:42Z,UK
Username_83_4,United States,"This user is the management user of the many GitHub cloud organizations owned by RKAEV, MFDLABS and VMMInfra.",2022-01-03T14:16:33Z,US
Username_83_5,"kurnool,andhra pradesh,india",hello i'm p.imran ali khan.i have 2022 b.tech pass out in the stream of cse.,2021-01-12T06:09:48Z,IN
Username_83_6,"Sergipe, Brazil",I'm a Computer Science student from Federal University of Sergipe.,2024-01-13T17:16:59Z,BR
Username_83_7,United states,From techno-curiosity to accomplishing my real-time goals !!,2023-01-03T17:26:07Z,US
Username_83_8,Lagos Nigeria,Building responsive web experiences with a sprinkle of creative flair. Let's collaborate! 😎,2023-01-02T12:55:37Z,NG
Username_83_9,Lagos Nigeria,"👋 Hi, I’m Andrew a Junior DevOps Engineer passionate about cloud-native development and automation.",2021-01-22T16:55:46Z,NG
Username_83_10,"Gujarat, India","ReactJS, NextJS, NodeJS, Develper. Networking Expert. Web Developer.",2022-01-10T08:38:49Z,IN
