login,location,bio,createdAt,country
Username_70_1,United States of America,"UI/UX Designer, Apex Graphics Founder & Owner, Best graphics company in the making",2023-01-20T02:01:23Z,US
Username_70_2,United States,I am a dedicated and passionate technology enthusiast that enjoys working on projects.,2021-01-07T21:21:02Z,US
Username_70_3,"London, United Kingdom",Mobile Application Engineer  Android | iOS | Flutter | React Native | Cyber Security Engineer,2021-01-04T08:53:05Z,UK
Username_70_4,"Brasilia, Brazil",".NET Developer | Always Learning |  Coding, creating side-projects & turning caffeine into features.",2021-01-25T12:43:08Z,BR
Username_70_5,Nigeria,Upcoming Full-stack Developer || UI / UX Designer || Content Creator || Software Engineer || Web Developer....,2022-01-20T08:21:02Z,NG
Username_70_6,India,Full Stack Developer 🚀 | Java + DSA | Python | AI + ML 🌐 ,2022-01-08T07:00:15Z,IN
Username_70_7,India,"I analyze , Visualize & Interpret data to decipher problems , make informed decisions and explore outcomes",2022-01-04T03:56:52Z,IN
Username_70_8,Brazil,HTML | CSS | JS | React | Angular | TypeScript | NodeJs ,2022-01-04T03:25:07Z,BR
Username_70_9,"Sheffield, United Kingdom","Mexican based in the UK. Translator, former-diplomat. ",2021-01-30T23:18:18Z,UK
Username_70_10,"Rivers, Nigeria ","I am a future Software Engineer, I'm aimed at winning with patient.",2023-01-16T17:39:32Z,NG
