login,location,bio,createdAt,country
Username_94_1,United States,Jungle Color is focused on becoming the go to brand for learning about African cultural heritage using digital technology.,2022-01-08T15:15:00Z,US
Username_94_2,"Santos, Brazil","Back-End Developer | Focused on Java & Python | Based in São Paulo, Brazil",2024-01-06T00:05:57Z,BR
Username_94_3,"New Delhi, India",Computer Science Undergrad and a future Software Engineer. I believe in learning to make a change. ,2021-01-05T08:55:27Z,IN
Username_94_4,United Kingdom,"Development skills, management experience, History degree, acoustic guitar, football.",2021-01-10T13:10:07Z,UK
Username_94_5,"FCT, Abuja, Nigeria",Software Engineering student at MIU Abuja | Ex Software Engineer at eHealth Africa,2022-01-17T18:10:04Z,NG
Username_94_6,Nigeria,Experienced software engineer with hands-on experience developing web applications using Node and React. ,2021-01-30T23:58:55Z,NG
Username_94_7,United States,"Writes, optimizes, and ranks your content to be #1.",2025-01-15T01:32:09Z,US
Username_94_8,United Kingdom ,4th year computer science student @ University of Glasgow  Previous intern @ Arista Networks,2021-01-15T14:07:52Z,UK
Username_94_9,Brazil,I am a web developer of systems and programs. In my free time I am a photographer.,2025-01-09T11:59:33Z,BR
Username_94_10,"Tamil Nadu, India",Code Artist who crafts beautiful web experiences with a dash of creativity.,2023-01-09T01:45:33Z,IN
