login,location,bio,createdAt,country
Username_96_1,Brazil in state of pernambuco,"Studying at UFPE (Universidade Federal de Pernambuco), electronic engineering.",2023-01-18T05:31:47Z,BR
Username_96_2,"Hisar, Haryana, India","I'm a web developer, with different programming langauges..!!",2022-01-15T06:09:03Z,IN
Username_96_3,"Lagos, Nigeria",DevOps Engineer | Network Admin | Cisco Certified | Dynamics 365 CRM | Azure Administrator ,2022-01-17T10:05:23Z,NG
Username_96_4,Nigeria,I'm a web developer aspiring to be a fullstack developer and I'm nice and fun too,2024-01-12T13:31:26Z,NG
Username_96_5,United States,Just an American that makes javascript games. No big deal..,2021-01-08T04:05:05Z,US
Username_96_6,"Delhi, India",| Web Developer | Trying to make the internet a happy place to be😉. ,2022-01-10T15:46:59Z,IN
Username_96_7,United States,A Software Developer with a passion for learning and TV shows.  Software Developer | Full Stack | Backend,2021-01-27T17:18:00Z,US
Username_96_8,United Kingdom,"Owner, Founder, Director & Lead Programmer of RoDark Studios Game Development.",2023-01-04T01:04:26Z,UK
Username_96_9,United Kingdom,"A dedicated full stack developer -- I specialise in smart contracts, AI and cross platform applications",2023-01-20T11:34:36Z,UK
Username_96_10,"Ponta Grossa (PR), Brazil",20y. 8° Semester in Software Engeneering at Unicesumar. Full Stack Developer.,2022-01-18T00:57:47Z,BR
