login,location,bio,createdAt,country
Username_13_1,"Lagos, Nigeria",Connecting global shoppers for collaborative purchases and seamless group shopping experiences. Powered by innovation and automation.,2025-01-15T17:40:32Z,NG
Username_13_2,"Bhopal, Madhya Pradesh, India",Full Stack Developer | Javascript | Css | React.js | Node.js | Frontend Developer,2024-01-18T13:52:10Z,IN
Username_13_3,United States,I am an experimental music artist who also does a little bit of code.,2023-01-01T03:18:10Z,US
Username_13_4,"Natal, Brazil","Professor of Finance @ UFRN - Derivatives, Quantitative Research and Trading",2023-01-03T01:15:20Z,BR
Username_13_5,"Newcastle university, United Kingdom",Utilizing digital health technology to make health care more personalized and patient centric.,2024-01-08T20:18:41Z,UK
Username_13_6,United Kingdom,"Computer Science Graduate (UK), beginner 3D modeller and printer(er?)",2021-01-26T12:48:11Z,UK
Username_13_7,Brazil,Computer Science Student | Python | HTML | CSS | PHP| Laravel | FIGMA | A.I & Machine Learning Enthusiast,2021-01-30T15:28:25Z,BR
Username_13_8,"Austin, Taxes, United States",Explore the benefits of buying verified phone accounts to enhance your online security and streamline your digital experience.,2025-01-30T09:51:15Z,US
Username_13_9,"Bareilly, Uttar Pradesh, India",Frontend Developer||   Blockchain |  ReactJS | Nextjs | Material UI | Chakra UI | MongoDB,2022-01-10T04:11:56Z,IN
Username_13_10,Nigeria,Expert Web designer with experience in WordPress | Digital Marketing Specialist.,2023-01-16T17:58:46Z,NG
