login,location,bio,createdAt,country
Username_73_1,Boulder - Colorado - United States of America,I am an Electrical and Computer Engineering student from CU Boulder. I graduated in the Spring 2021 Semester.,2021-01-19T23:14:26Z,US
Username_73_2,United States,"Hey, I'm a 22 year old beginner with coding and working on FiveM resources.",2023-01-17T03:11:13Z,US
Username_73_3,"Glasgow, United Kingdom",Im a student at West College Scotland in the Nq Software course,2025-01-09T09:36:44Z,UK
Username_73_4,"Santos, São Paulo - Brazil",Desenvolvedor Software Full-Stack - Frontend e Backend | JavaScript | TypeScript | ReactJS | Node.js | SQL,2023-01-12T20:43:06Z,BR
Username_73_5,Mohali India,Chartered Accountant | Financial Planning and Analysis | MIS & Performance Management | Budgeting & Forecasting,2025-01-03T16:16:33Z,IN
Username_73_6,INDIA,"I am web developer who passionate about creating a Websites,Web Application",2023-01-13T10:58:56Z,IN
Username_73_7,"Abuja, Nigeria.",I am a dedicated Data Analyst with a profound passion for unraveling the stories hidden within complex datasets. ,2021-01-05T23:29:34Z,NG
Username_73_8,"SP, Brazil",back-end dev in Java; systems analysis and development student at UAM.,2023-01-12T19:03:04Z,BR
Username_73_9,United Kingdom,"I make games. Professional work & older projects can be found on my website, link below!",2024-01-06T18:39:28Z,UK
Username_73_10,Kaduna Nigeria,Mainly Back-end dev but i love HTML and CSS <33,2021-01-18T14:53:16Z,NG
