login,location,bio,createdAt,country
Username_57_1,"Hyderabad,India",An ambitious person working on developing skills to secure an internship.,2025-01-04T14:10:28Z,IN
Username_57_2,"Abuja, Nigeria","Simple, athletic, funny  and your wanna be friend.",2024-01-23T17:02:48Z,NG
Username_57_3,"Cincinnati, Ohio, United States",Recent Ohio State grad (Dec 2023) with Bachelor's in Computer Science and Engineering. Open for work,2022-01-14T02:31:02Z,US
Username_57_4,"Mohali,Punjab, India.",Web3 🛠️ AI Enthusiast. Decentralizing the w🌏rld. 🎧lways learning and vibing.,2022-01-06T05:05:58Z,IN
Username_57_5,Fortaleza-CE Brazil,"Full Stack Flutter Developer with focus in scalable backend systems with Node, Python and Java. ",2022-01-18T14:32:22Z,BR
Username_57_6,"Lagos , Nigeria","Chukwujekwu is a passionate data professional with expertise in Cloud infrastructure, SQL and Python programming.",2022-01-12T17:01:01Z,NG
Username_57_7,Brazil,Software Developer | C# | ASP.NET Core | SQL | Docker | AWS ,2022-01-05T03:09:27Z,BR
Username_57_8,United Kingdom,Everything around us is object-oriented; we live in an object-oriented world.,2024-01-08T18:40:41Z,UK
Username_57_9,united kingdom,"Front-end developer specializing in React and Node.js, passionate about building scalable web applications",2024-01-03T14:26:21Z,UK
Username_57_10,"Upper Marlboro, MD 20774, United States",PhotoBook Press specializes in the highest quality custom design and printing services.,2023-01-16T16:53:18Z,US
