login,location,bio,createdAt,country
Username_44_1,United Kingdom,A new programmer trying to learn the basics of it all!,2025-01-29T17:19:09Z,UK
Username_44_2,India,I am a eco-sustainability professional focused to make an impact in ecological restoration,2021-01-02T15:31:41Z,IN
Username_44_3,United Kingdom,Mathematics and computer science enthusiast. Student at Bishop Vesey's Grammar School.,2021-01-03T12:54:22Z,UK
Username_44_4,"Tucson, AZ, United States",Biologist | Computer Engineer | Research Associate (Satellite Imagery Analyst) | Biological Data Analysis | Front End Developer,2023-01-02T00:54:13Z,US
Username_44_5,United States,Fullstack game designer. Moonlight on the weekdays as a professional developer.,2021-01-28T02:05:39Z,US
Username_44_6,"Itaqui, Brazil",Academic of Software Engineering at Federal University of Pampa. A curious person by nature. 🙂,2021-01-03T06:54:50Z,BR
Username_44_7,"Lagos, Nigeria","an IT support specialist,  an intermediate python developer a beginner .net developer ",2022-01-19T03:42:35Z,NG
Username_44_8,"Gurugram, India","Aspiring Data Analyst | Skilled in Excel, Power BI, SQL, Python | M.Com in Marketing",2024-01-06T21:55:26Z,IN
Username_44_9,Nigeria,Seasoned business development and data analyst personnel with extensive professional experience in converting business ideas into organizational goals,2024-01-03T17:04:53Z,NG
Username_44_10,"Minas Gerais, Brazil","Mechanical Engineer moving to Data Science, fascinated by sports and always learning something new.",2025-01-21T16:11:18Z,BR
