login,location,bio,createdAt,country
Username_55_1,Nigeria,SOFTWARE DEVELOPER | JavaScript  | MERN Stack Dev| C++ |  Typescript  | Next  | ,2021-01-15T13:17:31Z,NG
Username_55_2,India,"k8s, istio, envoy, test, scale, performance, SDET ",2022-01-21T10:34:49Z,IN
Username_55_3,United Kingdom,We’re a team of talented creatives who live and breathe great design.,2023-01-13T14:00:40Z,UK
Username_55_4,"MA, United States","A programming lover, from Brazil, actually learning java, css and html.",2023-01-19T22:58:35Z,US
Username_55_5,"Chester, United Kingdom",Software Engineering Student (2023 - ) at the University of Chester.,2024-01-18T16:12:00Z,UK
Username_55_6,Brazil,"29, BR, Psycologist and Recruiter. New in this thing.",2025-01-03T16:16:16Z,BR
Username_55_7,Nigeria,"Complete Newbie to coding, please don't kill me for the questions I ask.",2023-01-21T21:04:20Z,NG
Username_55_8,Brazil,"Since I created a clone for myself, managing multiple projects became much easier :)",2025-01-31T22:58:49Z,BR
Username_55_9,India,A passionate Web Developer with expertise in React-Redux and the MERN stack.,2024-01-10T07:29:17Z,IN
Username_55_10,United States,"Everester.org is your ultimate destination for trustworthy, top-tier information about Mount Everest.",2025-01-02T03:47:00Z,US
