login,location,bio,createdAt,country
Username_68_1,United States,"Python, JS, C++, HTML, C# Developer headshot.su Founder of Fishy Hosting LLC",2025-01-18T01:41:19Z,US
Username_68_2,United States,"I am studying software development, network engineering, and cybersecurity.",2021-01-11T12:58:36Z,US
Username_68_3,"Lagos, Nigeria","Computer Science, Udacity data analytics nanodegree graduate. passionate about solving complex problem through advanced analytics. ",2022-01-19T15:47:59Z,NG
Username_68_4,United Kingdom,Entry-level self-taught data professional looking for fully remote opportunities in the data field.,2025-01-05T18:25:56Z,UK
Username_68_5,Brazil,"Hello, my name is Gabriel. I have some projects.",2021-01-06T15:38:10Z,BR
Username_68_6,Nigeria,"Data Analyst, Python, SQL, Microsoft PowerBI, Exploratory Data Analysis",2022-01-14T02:58:34Z,NG
Username_68_7,"Sao Paulo, Brazil",currently studying statistics & data science at university of são paulo.,2022-01-09T22:25:32Z,BR
Username_68_8,United Kingdom,Lewis Torrington (He/Him) Environmental Artist Level Designer Character Artist,2023-01-01T22:19:30Z,UK
Username_68_9,"Pune, India",MERN Stack Developer | Full Stack .NET Core Developer | Passionate about building scalable and efficient web applications,2021-01-11T19:25:23Z,IN
Username_68_10,"Nagpur, India","I am beginner level Data Analyst. I work on excel, SQL, Tableau and Power BI Projects.",2022-01-15T10:14:59Z,IN
