login,location,bio,createdAt,country
Username_40_1,"São Paulo, Brazil",Software Engineer | Next | React | Nest | TypeScript | Python,2021-01-30T15:57:57Z,BR
Username_40_2,"Coventry, United Kingdom",Games programmer/designer 🎮 Coventry university graduate 🎓  Looking to land a job in the programming industry,2023-01-18T15:28:49Z,UK
Username_40_3,India,Animator & Founder of Flavor Studios | Creating inspiring animated stories | Sharing resources & tutorials to help fellow creators,2025-01-21T06:41:40Z,IN
Username_40_4,"Middletown, DE, United States","Hi, my name is Kelly Wells and I am passionate about providing the best Image Cutout Service.",2023-01-19T05:16:27Z,US
Username_40_5,"Lagos, Nigeria",Studying Applied Technology at BYU Idaho and am interested in developing business apps to better manage processes and information. ,2023-01-11T16:13:36Z,NG
Username_40_6,United kingdom ,Directly message me on Whatsapp for more information My WhatsApp 👇👇 https://Wa.me//+447922640967,2025-01-14T07:25:17Z,UK
Username_40_7,"Kolkata, West Bengal, India","Machine Learning enthusiast, with an intermediate knowledge in Image Processing using CNN models.",2022-01-11T05:07:17Z,IN
Username_40_8,United States ,I am a college student and beginner cybersecurity who wants to get into the field of information security!  ,2022-01-09T00:36:03Z,US
Username_40_9,"Lagos, Nigeria",A level-headed bookworm. Found a wonderful friend and mentor in @gertie-sheshe.,2021-01-07T12:42:18Z,NG
Username_40_10,Brazil,Hello! My name is Adriano Oliveira. I am Pianist and Systems Analyst.,2021-01-14T13:34:34Z,BR
