login,location,bio,createdAt,country
Username_84_1,"Lagos, Nigeria ",Data Analysis; Investment Analysis; Accountant; Finance Analyst; Finance Operations Specialist.,2023-01-17T09:09:34Z,NG
Username_84_2,"Chennai,India",Passionate AWS | Computer Science and Business System | 2022 - 2026,2025-01-19T07:36:49Z,IN
Username_84_3,India,Just a new guy trying to explore the world through  ;,2021-01-25T08:16:33Z,IN
Username_84_4,"United Kingdom, GB (Dino nugget island)",I'm just an average coder working on projects to keep me occupied ,2021-01-25T11:44:04Z,UK
Username_84_5,"Campinas, SP - Brazil",The State University of Campinas 🇧🇷  Computer Engineering ❤️  🍵 >>> ☕ ,2023-01-16T15:04:59Z,BR
Username_84_6,"Florianópolis, Brazil","Hi everyone! I'm just a DevOps that loves to read, watch movies and play some games :)",2022-01-17T09:54:27Z,BR
Username_84_7,United Kingdom,I love coding and do many web development projects. Visit my website to learn more about my work,2023-01-12T07:11:59Z,UK
Username_84_8,United States,Code Builder. Web Developer. Yo. Yo. Boyfriend.,2023-01-17T12:01:25Z,US
Username_84_9,"Nigeria, Kano",Blockchain Expert || Cybersecurity || CM || Ambassador @NibiruChain || Web3 Advocate ,2025-01-29T21:47:57Z,NG
Username_84_10,United States,A social media made to be fun and customizable for the users. ,2025-01-28T16:29:20Z,US
