login,location,bio,createdAt,country
Username_45_1,"Rancharia-SP, Brazil",Software Developer Typescript & Javacript | React & Node | Next & Nest,2022-01-11T01:00:15Z,BR
Username_45_2,United States,Software Developer 🧑‍💻| Seneca 🎓| Tech Nerd ⚙️,2022-01-12T02:55:03Z,US
Username_45_3,United States,I'm a people person. I really like to meet and work with lot of people. ,2023-01-04T04:14:40Z,US
Username_45_4,India,I am cadet at IMU-KC pursuing B.Tech in Marine engineering.,2022-01-08T13:18:38Z,IN
Username_45_5,Nigeria,"UX, content, community, making things work, winning, and helping people win.",2021-01-22T09:35:25Z,NG
Username_45_6,"Alpha House, 96 City Rd, Bradford BD8 8ES, United Kingdom","Find high-performance dew point meters, hygrometers, and trace moisture measurement systems from Alpha Moisture Systems. ",2025-01-02T17:54:03Z,UK
Username_45_7,"United Kingdom, Bracknell",Recently graduated from @southampton with a MEng of Computer Science with Artificial Intelligence. ,2022-01-06T12:44:03Z,UK
Username_45_8,"Blumenau, SC, Brazil","Software Developer | Python, SQL, Firebird, JavaScript, Data Migration and web development.",2024-01-15T14:12:52Z,BR
Username_45_9,"Lagos, Nigeria",I tell stories. I invent them too. Sometimes in words; most times in codes. ,2023-01-17T22:53:25Z,NG
Username_45_10,"Pune, India.",Computer Engineering Student at Savitribai Phule Pune University (SPPU) | Web Developer | Tech Enthusiast,2022-01-11T17:01:13Z,IN
