login,location,bio,createdAt,country
Username_63_1,United States,I am Blogger Article Post And Data Entry Article Submit Best Earning Site Blogger.,2024-01-16T19:05:59Z,US
Username_63_2,India,This is the technical division of the Aasakya Digital Technologies Team.,2024-01-06T18:43:18Z,IN
Username_63_3,Brazil - BR,Software Engineer | Python | HTML5 | CSS3 | JS | Student at the Federal University of ABC,2024-01-19T18:56:04Z,BR
Username_63_4,"Lagos, Nigeria",Data Analysts |Data Scientist | Machine Learning Engineer  I transform raw data into actionable insights and scalable solutions.,2022-01-21T23:35:48Z,NG
Username_63_5,Nigeria,Skilled Front-end Developer with experience in designing and developing front-end web applications. ,2022-01-19T15:18:07Z,NG
Username_63_6,"Colorado, United States of America",Hello! I aim to push myself and my skills to make efficient solutions to interesting challenges.,2025-01-08T02:46:18Z,US
Username_63_7,Brazil,"Just started as student in this wonderful dev world, looking for some new networking :)",2023-01-06T12:55:01Z,BR
Username_63_8,"Pune, India",Student | Developer | Learner & have a keen interest in improving society !!,2021-01-08T16:11:45Z,IN
Username_63_9,"Watford, Hertfordshire, United Kingdom",Aspiring Software Engineer/Developer | Having recently completed a 6-month BootCamp by HyperionDev,2024-01-04T17:53:44Z,UK
Username_63_10,United Kingdom,"I'm a science and engineering enthusiast, passionate about learning and applying knowledge to drive innovation and breakthroughs.",2023-01-06T09:23:15Z,UK
